Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000002,5,2011,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,30-34,91,91,Rosso fermo,Nero d'Avola 100%,14.5,,Ravioli di ricotta e maggiorana con sugo di maiale,24 mesi in botte grande,"Splendido manto rubino vivo, concentrato. Bouquet vigoroso, intrigante e ricco di sfumature. | profumi di frutta in confettura e sotto spirito, dalla prugna al gelso, e le note floreali, che ricordano una rosa in infusione, precedono aromi speziati di pepe nero e curcuma, eleganti sentori di liquirizia e di erbe aromatiche, rinfrescanti effluvi balsamici e minerali. Sorso pieno, avvolgente, vellutato, vivacizzato dalla freschezza ancora ben presente e da una trama tannica in evoluzione, ma già integrata nella struttura. Lunghissima persistenza, finale sapido con richiami balsamici. ",,na,na,na,na,na,na,Italia,2,,,
,0000002,3,2012,Gulfi,Nerobufaleffj,Sicilia,,DOC,Sicilia,30-34,87,87,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,
,0000002,3,2013,Gulfi,Nerobufaleffj,Sicilia,,DOC,Sicilia,30-34,87,87,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,
,0000002,3,2014,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,35-39,88,88,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,
,0000002,5,2016,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,93,93,Rosso fermo,Nero d'Avola 100%,14.5,,Tournedos alla Rossini,24 mesi in botte grande,"Rubino denso e profondo arricchito da sfumature ancora porpora. All'olfatto è intenso, deciso ed elegante: apre con un profumato mazzetto di viola, glicine e lavanda, poi subito emergono mora di rovo, prugna e mirtillo. Pepe nero, vaniglia e noce moscata inebriano il naso, seguiti da cuoio e tabacco su una scia mentolata. Il sorso è potente e avvolgente, caldo per la significativa presenza alcolica, ma bilanciato nella sensazione gustativa dalla freschezza e da una trama tannica  fitta, vellutata, ma ancora scalpitante. Finale ammandorlato di lunghissima persistenza.",,na,na,na,na,na,na,Italia,2,,,
,0000002,5,2017,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,91,91,Rosso fermo,Nero d''Avola 100%,14.5,,Carrè di agnello al forno,24 mesi in botte grande,"Manto rubino impenetrabile, quasi inchiostro. Fragranze iniziali di rosa, violetta e lavanda  si intrecciano ad amarena sotto spirito, mora  di rovo, gelsi neri. Lo scrigno olfattivo si apre ancora e vira su tracce balsamiche e mentolate che anticipano intriganti aromi di pepe nero, cannella, tabacco, cioccolato fondente e caffè In bocca è suadente: la spalla acida bilancia mirabilmente la vena alcolica; i tannini sono presenti ma ben delineati. Delicatamente sapido, regala una lunga persistenza con ritorni di frutta sotto spirito e spezie.",,na,na,na,na,na,na,Italia,2,,,
,0000002-1,3★-5★,,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,na,na,Rosso fermo,Nero d'Avola 100%,14.5,,Ravioli di ricotta e maggiorana con sugo di maiale – Tournedos alla Rossini – Carrè di agnello al forno,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,
,0000583,5,2019,Marco De Bartoli,Passito Di Pantelleria Bukkuram Sole D'Agosto,Passito di Pantelleria,,DOC,Sicilia,45-49,93,93,Bianco passito,Zibibbo 100%,14,5k,Bacio pantesco,almeno 6 mesi in botte,"Giallo ambrato dalla fine lucentezza. Naso intenso, tipico,  espressivo: fichi secchi, uva passa, miele e pasticceria, contrappunti di anice, soffi di salsedine. Dolce, denso, in perfetto equilibrio con acidità e sapidità, dinamico e appagante, dal lunghissimo epilogo.",,na,na,na,na,na,na,Italia,2,,,
Bologna Wine Fair 2022,0000583,5,2020,Marco De Bartoli,Passito Di Pantelleria Bukkuram Sole D'Agosto,Passito di Pantelleria,,DOC,Sicilia,45-49,93,93,Bianco passito,Zibibbo 100%,14,5k,nd,almeno 6 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000583-1,5★,,Marco De Bartoli,Passito Di Pantelleria Bukkuram Sole D'Agosto,Passito di Pantelleria,,DOC,Sicilia,45-49,na,na,Bianco passito,Zibibbo 100%,14,5k,Bacio pantesco,almeno 6 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,
,0000584,3,1988,Marco De Bartoli,Marsala Superiore Oro Riserva,Marsala,Superiore – Oro – Riserva,DOC,Sicilia,70-74,88,88,Bianco liquoroso,Grillo 100%,19,3k,nd,360 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
Bologna Wine Fair 2022,0000584,3,2004,Marco De Bartoli,Marsala Superiore Oro Riserva,Marsala,Superiore – Oro – Riserva,DOC,Sicilia,45-49,87,87,Bianco liquoroso,Grillo 100%,18,11k,nd,360 mesi in botte,,,na,na,na,na,na,na,Italia,2,,,
,0000584-1,3★,,Marco De Bartoli,Marsala Superiore Oro Riserva,Marsala,,DOC,Sicilia,45-49,na,na,Bianco liquoroso,Grillo 100%,18,3k-11k,nd,360 mesi in botte,,,na,na,na,na,na,na,Italia,1,,,
