Produttore,Vino,Annata,Regione,Punteggio,Degustazione,Note
Cirotto,Manzoni Bianco Costalunga,2019,Veneto,92,92,
Vincenzo Cesani,Vernaccia Di San Gimignano Riserva Sanice,2018,Toscana,92,92,
Vigne Surrau,Vermentino Di Gallura Vendemmia Tardiva Montidimola ,2020,Sardegna,sv,89,
Tropfltalhof,Anphora Garnellen,2016,Alto-Adige,94,88,
Tenuta Castelbuono (Lunelli),Montefalco Sagrantino Carapace,2016,Umbria,94,94,
Badia a Coltibuono,Chianti Classico Riserva Cultus,2017,Toscana,89,85,
Badia a Coltibuono,Montebello,2016,Toscana,sv,84,
Gianfranco Fino,Salento Primitivo Es,2020,Puglia,sv,93,
Pisoni,Trentino Vino Santo,2007,Trentino,89,91,
Marco De Bartoli,Passito Di Pantelleria Bukkuram Sole D'Agosto,2020,Sicilia,sv,93,
Marco De Bartoli,Marsala Superiore Oro Riserva,2004,Sicilia,87,85,
