Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000569,2,2016,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,84,84,Bianco fermo,Kerner 100%,14.5,14k,Gnocchi all'aglio orsino,7 mesi in acciaio,"Giallo paglierino. Note speziate e di affumicatura danno il via a sentori di fieno e noci, per sfociare su pesca bianca e pompelmo. Palato strutturato e intenso che intreccia buon calore alcolico e freschezza decisa in equilibrio. Ritorni di mandarino e pompelmo svaniscono piano piano. ",,na,na,na,na,na,na,Italia,2,,,
,0000569,2,2016,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,84,84,Bianco fermo,Kerner 100%,14.5,20k,nd,7 mesi in acciaio,,,na,na,na,na,na,na,Italia,2,,,
,0000569,2,2017,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,84,84,Bianco fermo,Kerner 100%,14,25k,Insalata di pollo,7 mesi in acciaio,"Paglierino luccicante. Al naso esprime tutta la sua tipicità con uno spettro ampio e variegato che spazia dal fruttato di pesca nettarina  e mela renetta al floreale di sambuco e magnolia. Infine un vago sentore minerale e gessoso. Affascina il sorso, dalla fine e vivace freschezza, ben amalgamata alla gustosa sapidità. Persistenza giocata sulle note balsamiche. ",,na,na,na,na,na,na,Italia,2,,,
,0000569,2,2018,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,84,84,Bianco fermo,Kerner 100%,15,30k,nd,7 mesi in acciaio,,,na,na,na,na,na,na,Italia,2,,,
,0000569,5,2019,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,93,93,Bianco fermo,Kerner 100%,14.5,30k,Gnocchi di ricotta d'alpe gratinati e vellutata di ortica,7 mesi in acciaio,"Paglierino lucente dai giovanili bagliori verdolini. Emergono possenti e variegati riconoscimenti di pesca, ananas e susina, melissa e pepe bianco, gelsomino e sfalci d'erba. Assaggio vivace e agile, dettato da una sapidità accentuata e corroborante, ben indirizzata nel solco tracciato dall'acidità Leggermente piccante, stuzzica con la sua persistenza e termina su cenni di menta e frutta. ",,na,na,na,na,na,na,Italia,2,,,
Vinitaly-2022,0000569,5,2020,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,93,93,Bianco fermo,Kerner 100%,14.5,30k,Seppie ripiene con fave alla menta,7 mesi in acciaio,"paglierino – pesca bianca - 90 | albicocca - 90 | melone - 80 | chiodi di garofano - 60 | vaniglia - 60 | sambuco - 40 – Entra in bocca leggiadro e vivace, per soffermarsi sulla vena sapida. In chiusura garbati ricordi di zeste di limone e menta",,na,na,na,na,na,na,Italia,2,,,
,0000569-1,2★-5★,,Cantina Valle Isarco,Alto Adige Valle Isarco Kerner Aristos,Alto-Adige,Valle Isarco – Kerner,DOC,Alto-Adige,15-19,na,na,Bianco fermo,Kerner 100%,14.5,14k-30k,Gnocchi all'aglio orsino – Insalata di pollo – Gnocchi di ricotta d'alpe gratinati e vellutata di ortica – Seppie ripiene con fave alla menta,7 mesi in acciaio,,,na,na,na,na,na,na,Italia,1,,,
,0000570,3,2015,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,15-19,87,87,Bianco fermo,Pinot bianco 100%,13.5,45k,Involtini di melanzane,7 mesi in botte grande,"Giallo paglierino luminoso. Naso elegante  che evoca sentori di pera abate, pesca gialla  e susina goccia d'oro, e ancora noci e fieno appena tagliato. Sorso rotondo e di ottimo equilibrio, con vena alcolica ben integrata a contrastare sapidità in primis e freschezza  Di struttura media, si spegne lentamente.",,na,na,na,na,na,na,Italia,2,,,
,0000570,4,2016,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,20-24,89,89,Bianco fermo,Pinot bianco 100%,13.5,45k,Asparagi con salsa bolzanina,8 mesi in botte grande,"Paglierino lucente. Al naso elargisce una stimolante combinazione di aromi freschi e toni maturi: emergono cedro e albicocca disidratata, mandarino e chips di banana, melissa e sbuffi di vaniglia. Ingresso potente e vigoroso, dalla spiccata freschezza innervata da una fine vena salmastra. Sorso di entusiasmante vivacità, delicatamente caldo, dagli incessanti riverberi dei profumi percepiti all'olfatto. ",,na,na,na,na,na,na,Italia,2,,,
,0000570,2,2017,Cantina Nals Margreid,Alto Adige Pinot Bianco Sirmian,Alto-Adige,Pinot Bianco,DOC,Alto-Adige,20-24,84,84,Bianco fermo,Pinot bianco 100%,13.5,40k,nd,8 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,
