Vino,Anno,Punteggio,Produttore,Regione,Vitigni,Tipologia,Bevuto il,Bevuto dove
Vespa Bianco,2017,89,Bastianich,Friuli (IT),Chardonnay - Sauvignon blanc,Bianco fermo,02/2022,Casa
Luna Selvatica,2018,92,La Tosa,Emilia (IT),Cabernet Sauvignon,Rosso fermo,03/2022,Casa
Amarone Classico,2013,90,Rubinelli-Vajol,Veneto (IT),Corvina - Corvinone - Rondinella,Rosso fermo,03/2022,Ristorante Cavour - Dossobuono
Roggio del Filare,2016,94,Velenosi,Marche (IT),Montepulciano - Sangiovese,Rosso fermo,02/2022,Casa
Calvarino,2019,92,Pieropan,Veneto (IT),Garganega - Trebbiano di Soave,Bianco fermo,02/2022,Casa
Cupa,2015,85,I Pastini,Puglia (IT),Bianco d'Alessano,Bianco fermo,02/2022,Casa
Baby Magnum,2020,85,Marchesi di Ravarino,Emilia (IT),Lambrusco di Sorbara,Rosato metodo ancestrale,02/2022,Casa
Merlino,?,90,Pojer e Sandri,Trentino (IT),Lagrein - Brandy,Rosso liquoroso,02/2022,Ristorante La Rosa 1908
Brunello di Montalcino Vigna Soccorso,2013,93,Tiezzi,Toscana (IT),Sangiovese,Rosso fermo,02/2022,Ristorante La Rosa 1908
Muro Sant'Angelo,2018,86,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,02/2022,Casa
L'Atto,2020,82,Cantine del Notaio,Basilicata (IT),Aglianico,Rosso fermo,02/2022,Casa
Albarara,2020,88,Tenuta Santa Lucia,Romagna (IT),Albana,Bianco fermo,02/2022,Casa
Refosco,2014,88,La Roncaia,Friuli (IT),Refosco,Rosso fermo,01/2022,Casa
Picolit,2017,83,Torre Rosazza,Friuli (IT),Picolit,Bianco passito,01/2022,Casa
Moro Polo,2018,Difetto,Ca Lustra Zanovello,Veneto (IT),Merlot - Cabernet Sauvignon - Carmenere,Rosso fermo,01/2022,Casa
Tintilia,2019,Difetto,Di Majo Norante,Molise (IT),Tintilia,Rosso fermo,01/2022,Casa
Spergola Metodo Classico,sa,79,Cantina di Puianello,Emilia (IT),Spergola,Bianco metodo classico,01/2022,Casa
Maccone Primitivo,2020,86,Angiuli,Puglia (IT),Primitivo,Rosso fermo,01/2022,Casa
Concerto,2020,85,Medici Ermete,Emilia (IT),Lambrusco salamino,Rosso frizzante,01/2022,Casa
Sauvignon Blanc,2018,86,Schloss,Austria,Sauvignon blanc,Bianco fermo,01/2022,Casa
Rampone,2015,Difetto,I Pastini,Puglia (IT),Minutolo,Bianco fermo,01/2022,Casa
Iove,2019,80,Umberto Cesari,Romagna (IT),Chardonnay - Pinot Grigio,Bianco fermo,01/2022,Casa
